l3_code,L1_name,L2_name,l3_name
558,Science,Earth sciences & geology,Earth sciences of South America
559,Science,Earth sciences & geology,Earth sciences of other areas
56,"Computer science, information & general works","Magazines, journals & serials","Serials in Spanish, Portuguese, Galician"
560,Science,Fossils & prehistoric life,Paleontology
561,Science,Fossils & prehistoric life,Paleobotany; fossil microorganisms
562,Science,Fossils & prehistoric life,Fossil invertebrates
563,Science,Fossils & prehistoric life,Fossil marine & seashore invertebrates
564,Science,Fossils & prehistoric life,Fossil Mollucas & Molluscoidea
565,Science,Fossils & prehistoric life,Fossil Arthropoda
566,Science,Fossils & prehistoric life,Fossil Chordata
567,Science,Fossils & prehistoric life,Fossil cold-blooded vertebrates
568,Science,Fossils & prehistoric life,Fossil Aves (birds)
569,Science,Fossils & prehistoric life,Fossil Mammalia
57,"Computer science, information & general works","Magazines, journals & serials",General serial publications in Slavic languages
570,Science,Biology,Biology
571,Science,Biology,Physiology & related subjects
572,Science,Biology,Biochemistry
573,Science,Biology,Specific physiological systems in animals
574,Science,Biology,[Unassigned]
575,Science,Biology,Specific parts of & systems in plants
576,Science,Biology,Genetics and evolution
577,Science,Biology,Ecology
578,Science,Biology,Natural history of organisms
579,Science,Biology,"Microorganisms, fungi & algae"
58,"Computer science, information & general works","Magazines, journals & serials",Serials in Scandinavian languages
580,Science,Plants (Botany),Plants
581,Science,Plants (Botany),Specific topics in natural history of plants
582,Science,Plants (Botany),Plants noted for characteristics & flowers
583,Science,Plants (Botany),Eudicots and Ceratophyllales
584,Science,Plants (Botany),"Monocots, Chloranthales, magnoliids"
585,Science,Plants (Botany),Pinophyta
586,Science,Plants (Botany),Cryptogamia
587,Science,Plants (Botany),Pteridophyta
588,Science,Plants (Botany),Bryophyta
589,Science,Plants (Botany),[Unassigned]
59,"Computer science, information & general works","Magazines, journals & serials",General serial publications in other languages
590,Science,Animals (Zoology),Animals
591,Science,Animals (Zoology),Specific topics in natural history of animals
592,Science,Animals (Zoology),Invertebrates
593,Science,Animals (Zoology),Marine & seashore invertebrates
594,Science,Animals (Zoology),Mollusca and Molluscoidea
595,Science,Animals (Zoology),Arthropoda
596,Science,Animals (Zoology),Chordata
597,Science,Animals (Zoology),Cold-blooded vertebrates
598,Science,Animals (Zoology),Aves
599,Science,Animals (Zoology),Mammalia
6,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
60,"Computer science, information & general works","Associations, organizations & museums",General organizations & museology
600,Technology,Technology,Technology (Applied sciences)
601,Technology,Technology,Philosophy and theory
602,Technology,Technology,Miscellany
603,Technology,Technology,"Dictionaries, encyclopedias, concordances"
604,Technology,Technology,"Technical drawing, hazardous materials"
605,Technology,Technology,Serial publications
606,Technology,Technology,Organizations
607,Technology,Technology,"Education, research, related topics"
608,Technology,Technology,Patents
609,Technology,Technology,"History, geographic treatment, biography"
61,"Computer science, information & general works","Associations, organizations & museums",General organizations in North America
610,Technology,Medicine & health,Medicine and health
611,Technology,Medicine & health,"Human anatomy, cytology, histology"
612,Technology,Medicine & health,Human physiology
613,Technology,Medicine & health,Personal health & safety
614,Technology,Medicine & health,Forensic medicine; incidence of disease
615,Technology,Medicine & health,Pharmacology and therapeutics
616,Technology,Medicine & health,Diseases
617,Technology,Medicine & health,Surgery & related medical specialties
618,Technology,Medicine & health,"Gynecology, obstetrics, pediatrics, geriatrics"
619,Technology,Medicine & health,[Unassigned]
62,"Computer science, information & general works","Associations, organizations & museums",General organizations in British Isles; in England
620,Technology,Engineering,Engineering and allied operations
621,Technology,Engineering,Applied physics
622,Technology,Engineering,Mining and related operations
623,Technology,Engineering,Military and nautical engineering
624,Technology,Engineering,Civil engineering
625,Technology,Engineering,Engineering of railroads and roads
626,Technology,Engineering,[Unassigned]
627,Technology,Engineering,Hydraulic engineering
628,Technology,Engineering,Sanitary engineering
629,Technology,Engineering,Other branches of engineering
63,"Computer science, information & general works","Associations, organizations & museums",General organizations in Germany
630,Technology,Agriculture,Agriculture and related technologies
631,Technology,Agriculture,"Techniques, equipment & materials"
632,Technology,Agriculture,"Plant injuries, diseases, pests"
633,Technology,Agriculture,Field and plantation crops
634,Technology,Agriculture,"Orchards, fruits, forestry"
635,Technology,Agriculture,Garden crops (Horticulture)
636,Technology,Agriculture,Animal husbandry
637,Technology,Agriculture,Processing dairy and related products
638,Technology,Agriculture,Insect culture
639,Technology,Agriculture,"Hunting, fishing & conservation"
64,"Computer science, information & general works","Associations, organizations & museums",General organizations in France and Monaco
640,Technology,Home & family management,Home and family management
641,Technology,Home & family management,Food and drink
642,Technology,Home & family management,Meals and table service
643,Technology,Home & family management,Housing and household equipment
644,Technology,Home & family management,Household utilities
645,Technology,Home & family management,Household furnishings
646,Technology,Home & family management,"Sewing, clothing & personal living"
647,Technology,Home & family management,Management of public households
648,Technology,Home & family management,Housekeeping
649,Technology,Home & family management,Child rearing & home care of people
65,"Computer science, information & general works","Associations, organizations & museums",General organizations in Italy
650,Technology,Management & public relations,Management and auxiliary services
651,Technology,Management & public relations,Office services
652,Technology,Management & public relations,Processes of written communication
653,Technology,Management & public relations,Shorthand
654,Technology,Management & public relations,[Unassigned]
655,Technology,Management & public relations,[Unassigned]
656,Technology,Management & public relations,[Unassigned]
657,Technology,Management & public relations,Accounting
658,Technology,Management & public relations,General management
659,Technology,Management & public relations,Advertising and public relations
66,"Computer science, information & general works","Associations, organizations & museums",General organizations in Spain
660,Technology,Chemical engineering,Chemical engineering
661,Technology,Chemical engineering,Technology of industrial chemicals
662,Technology,Chemical engineering,"Explosives, fuels & related products"
663,Technology,Chemical engineering,Beverage technology
664,Technology,Chemical engineering,Food technology
665,Technology,Chemical engineering,"Industrial oils, fats, waxes & gases"
666,Technology,Chemical engineering,Ceramic & allied technologies
667,Technology,Chemical engineering,"Cleaning, color & coating technologies"
668,Technology,Chemical engineering,Technology of other organic products
669,Technology,Chemical engineering,Metallurgy
67,"Computer science, information & general works","Associations, organizations & museums",General organizations in Russia
670,Technology,Manufacturing,Manufacturing
671,Technology,Manufacturing,Metalworking & primary metal products
672,Technology,Manufacturing,"Iron, steel, other iron alloys"
673,Technology,Manufacturing,Nonferrous metals
674,Technology,Manufacturing,"Lumber processing, wood products, cork"
675,Technology,Manufacturing,Leather and fur processing
676,Technology,Manufacturing,Pulp and paper technology
677,Technology,Manufacturing,Textiles
678,Technology,Manufacturing,Elastomers and elastomer products
679,Technology,Manufacturing,Other products of specific materials
68,"Computer science, information & general works","Associations, organizations & museums",General organizations in other geographic areas
680,Technology,Manufacture for specific uses,Manufacture of products for specific uses
681,Technology,Manufacture for specific uses,Precision instruments and other devices
682,Technology,Manufacture for specific uses,Small forge work (Blacksmithing)
683,Technology,Manufacture for specific uses,Hardware & household appliances
684,Technology,Manufacture for specific uses,Furnishings and home workshops
685,Technology,Manufacture for specific uses,"Leather, fur goods & related products"
686,Technology,Manufacture for specific uses,Printing and related activities
687,Technology,Manufacture for specific uses,Clothing and accessories
688,Technology,Manufacture for specific uses,Other final products & packaging
689,Technology,Manufacture for specific uses,[Unassigned]
69,"Computer science, information & general works","Associations, organizations & museums",Museology (museum science)
690,Technology,Construction of buildings,Construction of buildings
691,Technology,Construction of buildings,Building materials
692,Technology,Construction of buildings,Auxiliary construction practices
693,Technology,Construction of buildings,Specific materials & purposes
694,Technology,Construction of buildings,Wood construction
695,Technology,Construction of buildings,Roof covering
696,Technology,Construction of buildings,Utilities
697,Technology,Construction of buildings,"Heating, ventilating & air-conditioning"
698,Technology,Construction of buildings,Detail finishing
699,Technology,Construction of buildings,[Unassigned]
7,"Computer science, information & general works","Computer science, knowledge & systems",[Unassigned]
70,"Computer science, information & general works","News media, journalism & publishing","Documentary, educational, news media; journalism"
700,Arts & recreation,Arts,The arts
701,Arts & recreation,Arts,Philosophy of fine & decorative arts
702,Arts & recreation,Arts,Miscellany of fine and decorative arts
703,Arts & recreation,Arts,Dictionaries of fine & decorative arts
704,Arts & recreation,Arts,Special topics in fine and decorative arts
705,Arts & recreation,Arts,Serial publications of fine & decorative arts
706,Arts & recreation,Arts,Organizations & management
707,Arts & recreation,Arts,"Education, research & related topics"
708,Arts & recreation,Arts,"Galleries, museums & private collections"
709,Arts & recreation,Arts,"History, geographic treatment, biography"
71,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in North America
710,Arts & recreation,Area planning & landscape architecture,Area planning and landscape architecture
711,Arts & recreation,Area planning & landscape architecture,Area planning (Civic art)
712,Arts & recreation,Area planning & landscape architecture,Landscape architecture (Landscape design)
713,Arts & recreation,Area planning & landscape architecture,Landscape architecture of trafficways
714,Arts & recreation,Area planning & landscape architecture,Water features in landscape architecture
715,Arts & recreation,Area planning & landscape architecture,Woody plants in landscape architecture
716,Arts & recreation,Area planning & landscape architecture,Herbaceous plants
717,Arts & recreation,Area planning & landscape architecture,Structures in landscape architecture
718,Arts & recreation,Area planning & landscape architecture,Landscape design of cemeteries
719,Arts & recreation,Area planning & landscape architecture,Natural landscapes
72,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in British Isles
720,Arts & recreation,Architecture,Architecture
721,Arts & recreation,Architecture,Architectural materials and structure
722,Arts & recreation,Architecture,Architecture from earliest times to ca. 300
723,Arts & recreation,Architecture,Architecture from ca. 300 to 1399
724,Arts & recreation,Architecture,Architecture from 1400
725,Arts & recreation,Architecture,Public structures
726,Arts & recreation,Architecture,Buildings for religious and related purposes
727,Arts & recreation,Architecture,Buildings for education & research
728,Arts & recreation,Architecture,Residential and related buildings
729,Arts & recreation,Architecture,Design & decoration
73,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in Germany
730,Arts & recreation,"Sculpture, ceramics & metalwork",Sculpture and related arts
731,Arts & recreation,"Sculpture, ceramics & metalwork","Processes, forms, subjects of sculpture"
732,Arts & recreation,"Sculpture, ceramics & metalwork",Sculpture to ca. 500
733,Arts & recreation,"Sculpture, ceramics & metalwork","Greek, Etruscan, Roman sculpture"
734,Arts & recreation,"Sculpture, ceramics & metalwork",Sculpture from ca. 500 to 1399
735,Arts & recreation,"Sculpture, ceramics & metalwork",Sculpture from 1400
736,Arts & recreation,"Sculpture, ceramics & metalwork",Carving and carvings
737,Arts & recreation,"Sculpture, ceramics & metalwork",Numismatics and sigillography
738,Arts & recreation,"Sculpture, ceramics & metalwork",Ceramic arts
739,Arts & recreation,"Sculpture, ceramics & metalwork",Art metalwork
74,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in France and Monaco
740,Arts & recreation,Graphic arts & decorative arts,Graphic arts and decorative arts
741,Arts & recreation,Graphic arts & decorative arts,Drawing and drawings
742,Arts & recreation,Graphic arts & decorative arts,Perspective in drawing
743,Arts & recreation,Graphic arts & decorative arts,Drawing and drawings by subject
744,Arts & recreation,Graphic arts & decorative arts,[Unassigned]
745,Arts & recreation,Graphic arts & decorative arts,Decorative arts
746,Arts & recreation,Graphic arts & decorative arts,Textile arts
747,Arts & recreation,Graphic arts & decorative arts,Interior decoration
748,Arts & recreation,Graphic arts & decorative arts,Glass
749,Arts & recreation,Graphic arts & decorative arts,Furniture and accessories
75,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in Italy
750,Arts & recreation,Painting,Painting and paintings
751,Arts & recreation,Painting,"Techniques, equipment, materials & forms"
752,Arts & recreation,Painting,Color
753,Arts & recreation,Painting,"Symbolism, allegory, mythology, legend"
754,Arts & recreation,Painting,Genre paintings
755,Arts & recreation,Painting,Religion
756,Arts & recreation,Painting,[Unassigned]
757,Arts & recreation,Painting,Human figures
758,Arts & recreation,Painting,"Nature, cityscapes & other subjects"
759,Arts & recreation,Painting,"History, geographic treatment, biography"
76,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in Spain
760,Arts & recreation,Printmaking & prints,Printmaking & prints
761,Arts & recreation,Printmaking & prints,Relief processes (Block printing)
762,Arts & recreation,Printmaking & prints,[Unassigned]
763,Arts & recreation,Printmaking & prints,Lithographic processes
764,Arts & recreation,Printmaking & prints,Chromolithography and serigraphy
765,Arts & recreation,Printmaking & prints,Metal engraving
766,Arts & recreation,Printmaking & prints,"Mezzotinting, aquatinting, related processes"
767,Arts & recreation,Printmaking & prints,Etching and drypoint
768,Arts & recreation,Printmaking & prints,[Unassigned]
769,Arts & recreation,Printmaking & prints,Prints
77,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in Russia
770,Arts & recreation,"Photography, computer art, film, video","Photography, computer art, cinematography"
771,Arts & recreation,"Photography, computer art, film, video","Techniques, equipment & materials"
772,Arts & recreation,"Photography, computer art, film, video",Metallic salt processes
773,Arts & recreation,"Photography, computer art, film, video",Pigment processes of printing
774,Arts & recreation,"Photography, computer art, film, video",Holography
775,Arts & recreation,"Photography, computer art, film, video",[Unassigned]
776,Arts & recreation,"Photography, computer art, film, video",Computer art (Digital art)
777,Arts & recreation,"Photography, computer art, film, video",Cinematography and videography
778,Arts & recreation,"Photography, computer art, film, video",Specific fields & kinds of photography
779,Arts & recreation,"Photography, computer art, film, video",Photographic images
78,"Computer science, information & general works","News media, journalism & publishing",Journalism and newspapers in Scandinavia
780,Arts & recreation,Music,Music
781,Arts & recreation,Music,General principles and musical forms
782,Arts & recreation,Music,Vocal music
783,Arts & recreation,Music,Music for single voices
784,Arts & recreation,Music,Instruments & instrumental ensembles
785,Arts & recreation,Music,Ensembles with one instrument per part
786,Arts & recreation,Music,Keyboard & other instruments
787,Arts & recreation,Music,Stringed instruments (Chordophones)
788,Arts & recreation,Music,Wind instruments (Aerophones)
789,Arts & recreation,Music,(Optional number)
79,"Computer science, information & general works","News media, journalism & publishing",Newspapers in other geographic areas
790,Arts & recreation,"Sports, games & entertainment",Recreational and performing arts
791,Arts & recreation,"Sports, games & entertainment",Public performances
792,Arts & recreation,"Sports, games & entertainment",Stage presentations
793,Arts & recreation,"Sports, games & entertainment",Indoor games and amusements
794,Arts & recreation,"Sports, games & entertainment",Indoor games of skill
795,Arts & recreation,"Sports, games & entertainment",Games of chance
796,Arts & recreation,"Sports, games & entertainment",Athletic and outdoor sports and games
797,Arts & recreation,"Sports, games & entertainment",Aquatic and air sports
798,Arts & recreation,"Sports, games & entertainment",Equestrian sports and animal racing
799,Arts & recreation,"Sports, games & entertainment","Fishing, hunting, shooting"
8,"Computer science, information & general works","Computer science, knowledge & systems",[Unassigned]
80,"Computer science, information & general works",Quotations,General collections
800,Literature,"Literature, rhetoric & criticism",Literature (Belles-lettres) and rhetoric
801,Literature,"Literature, rhetoric & criticism",Philosophy and theory
802,Literature,"Literature, rhetoric & criticism",Miscellany
803,Literature,"Literature, rhetoric & criticism",Dictionaries & encyclopedias
804,Literature,"Literature, rhetoric & criticism",[Unassigned]
805,Literature,"Literature, rhetoric & criticism",Serial publications
806,Literature,"Literature, rhetoric & criticism",Organizations and management
807,Literature,"Literature, rhetoric & criticism","Education, research, related topics"
808,Literature,"Literature, rhetoric & criticism",Rhetoric & collections of literature
809,Literature,"Literature, rhetoric & criticism","History, description & criticism"
81,"Computer science, information & general works",Quotations,General collections in American English
810,Literature,American literature in English,American literature in English
811,Literature,American literature in English,American poetry in English
812,Literature,American literature in English,American drama in English
813,Literature,American literature in English,American fiction in English
814,Literature,American literature in English,American essays in English
815,Literature,American literature in English,American speeches in English
816,Literature,American literature in English,American letters in English
817,Literature,American literature in English,American humor and satire in English
818,Literature,American literature in English,American miscellaneous writings
819,Literature,American literature in English,(Optional number)
82,"Computer science, information & general works",Quotations,General collections in English
820,Literature,English & Old English literatures,English & Old English literatures
821,Literature,English & Old English literatures,English poetry
822,Literature,English & Old English literatures,English drama
823,Literature,English & Old English literatures,English fiction
824,Literature,English & Old English literatures,English essays
825,Literature,English & Old English literatures,English speeches
826,Literature,English & Old English literatures,English letters
827,Literature,English & Old English literatures,English humor and satire
828,Literature,English & Old English literatures,English miscellaneous writings
829,Literature,English & Old English literatures,Old English (Anglo-Saxon) literature
83,"Computer science, information & general works",Quotations,General collections in other Germanic languages
830,Literature,German & related literatures,Literatures of Germanic languages
831,Literature,German & related literatures,German poetry
832,Literature,German & related literatures,German drama
833,Literature,German & related literatures,German fiction
834,Literature,German & related literatures,German essays
835,Literature,German & related literatures,German speeches
836,Literature,German & related literatures,German letters
837,Literature,German & related literatures,German humor and satire
838,Literature,German & related literatures,German miscellaneous writings
839,Literature,German & related literatures,Other Germanic literatures
84,"Computer science, information & general works",Quotations,"General collections in French, Occitan, Catalan"
840,Literature,French & related literatures,Literatures of Romance languages
841,Literature,French & related literatures,French poetry
842,Literature,French & related literatures,French drama
843,Literature,French & related literatures,French fiction
844,Literature,French & related literatures,French essays
845,Literature,French & related literatures,French speeches
846,Literature,French & related literatures,French letters
847,Literature,French & related literatures,French humor and satire
848,Literature,French & related literatures,French miscellaneous writings
849,Literature,French & related literatures,"Occitan, Catalan, Franco-Provenï¿½al"
85,"Computer science, information & general works",Quotations,"Collections in Italian, Romanian & related languages"
850,Literature,"Italian, Romanian & related literatures","Italian, Romanian & related literatures"
851,Literature,"Italian, Romanian & related literatures",Italian poetry
852,Literature,"Italian, Romanian & related literatures",Italian drama
853,Literature,"Italian, Romanian & related literatures",Italian fiction
854,Literature,"Italian, Romanian & related literatures",Italian essays
855,Literature,"Italian, Romanian & related literatures",Italian speeches
856,Literature,"Italian, Romanian & related literatures",Italian letters
857,Literature,"Italian, Romanian & related literatures",Italian humor and satire
858,Literature,"Italian, Romanian & related literatures",Italian miscellaneous writings
859,Literature,"Italian, Romanian & related literatures",Romanian & related literatures
86,"Computer science, information & general works",Quotations,"Collections in Spanish, Portuguese, Galician"
860,Literature,"Spanish, Portuguese, Galician literatures",Spanish & Portuguese literatures
861,Literature,"Spanish, Portuguese, Galician literatures",Spanish poetry
862,Literature,"Spanish, Portuguese, Galician literatures",Spanish drama
863,Literature,"Spanish, Portuguese, Galician literatures",Spanish fiction
864,Literature,"Spanish, Portuguese, Galician literatures",Spanish essays
865,Literature,"Spanish, Portuguese, Galician literatures",Spanish speeches
866,Literature,"Spanish, Portuguese, Galician literatures",Spanish letters
867,Literature,"Spanish, Portuguese, Galician literatures",Spanish humor and satire
868,Literature,"Spanish, Portuguese, Galician literatures",Spanish miscellaneous writings
869,Literature,"Spanish, Portuguese, Galician literatures",Portuguese and Galician literatures
87,"Computer science, information & general works",Quotations,General collections in Slavic languages
870,Literature,Latin & Italic literatures,Latin & related Italic literatures
871,Literature,Latin & Italic literatures,Latin poetry
872,Literature,Latin & Italic literatures,Latin dramatic poetry and drama
873,Literature,Latin & Italic literatures,Latin epic poetry and fiction
874,Literature,Latin & Italic literatures,Latin lyric poetry
875,Literature,Latin & Italic literatures,Latin speeches
876,Literature,Latin & Italic literatures,Latin letters
877,Literature,Latin & Italic literatures,Latin humor and satire
878,Literature,Latin & Italic literatures,Latin miscellaneous writings
879,Literature,Latin & Italic literatures,Literatures of other Italic languages
88,"Computer science, information & general works",Quotations,General collections in Scandinavian languages
880,Literature,Classical & modern Greek literatures,Classical Greek & Hellenic literatures
881,Literature,Classical & modern Greek literatures,Classical Greek poetry
882,Literature,Classical & modern Greek literatures,Classical Greek dramatic poetry & drama
883,Literature,Classical & modern Greek literatures,Classical Greek epic poetry and fiction
884,Literature,Classical & modern Greek literatures,Classical Greek lyric poetry
885,Literature,Classical & modern Greek literatures,Classical Greek speeches
886,Literature,Classical & modern Greek literatures,Classical Greek letters
887,Literature,Classical & modern Greek literatures,Classical Greek humor and satire
888,Literature,Classical & modern Greek literatures,Classical Greek miscellaneous writings
889,Literature,Classical & modern Greek literatures,Modern Greek literature
89,"Computer science, information & general works",Quotations,General collections in other languages
890,Literature,Other literatures,Literatures of other languages
891,Literature,Other literatures,East Indo-European and Celtic literatures
892,Literature,Other literatures,Afro-Asiatic literatures
893,Literature,Other literatures,Non-Semitic Afro-Asiatic literatures
894,Literature,Other literatures,"Altaic, Uralic, Hyperborean & Dravidian"
895,Literature,Other literatures,Literatures of East and Southeast Asia
896,Literature,Other literatures,African literatures
897,Literature,Other literatures,North American native literatures
898,Literature,Other literatures,South American native literatures
899,Literature,Other literatures,Austronesian & other literatures
9,"Computer science, information & general works","Computer science, knowledge & systems",[Unassigned]
90,"Computer science, information & general works",Manuscripts & rare books,"Manuscripts, rare books"
900,History & geography,History,History & geography
901,History & geography,History,Philosophy and theory of history
902,History & geography,History,Miscellany of history
903,History & geography,History,Dictionaries & encyclopedias
904,History & geography,History,Collected accounts of events
905,History & geography,History,Serial publications of history
906,History & geography,History,Organizations & management
907,History & geography,History,"Education, research & related topics"
908,History & geography,History,Groups of people
909,History & geography,History,World history
91,"Computer science, information & general works",Manuscripts & rare books,Manuscripts
910,History & geography,Geography & travel,Geography and travel
911,History & geography,Geography & travel,Historical geography
912,History & geography,Geography & travel,Maps and plans of surface of earth
913,History & geography,Geography & travel,Geography of & travel in ancient world
914,History & geography,Geography & travel,Geography of and travel in Europe
915,History & geography,Geography & travel,Geography of and travel in Asia
916,History & geography,Geography & travel,Geography of and travel in Africa
917,History & geography,Geography & travel,Geography of & travel in North America
918,History & geography,Geography & travel,Geography of & travel in South America
919,History & geography,Geography & travel,Geography of and travel in other areas
92,"Computer science, information & general works",Manuscripts & rare books,Block books
920,History & geography,Biography & genealogy,"Biography, genealogy, insignia"
921,History & geography,Biography & genealogy,(Optional number)
922,History & geography,Biography & genealogy,(Optional number)
923,History & geography,Biography & genealogy,(Optional number)
924,History & geography,Biography & genealogy,(Optional number)
925,History & geography,Biography & genealogy,(Optional number)
926,History & geography,Biography & genealogy,(Optional number)
927,History & geography,Biography & genealogy,(Optional number)
928,History & geography,Biography & genealogy,(Optional number)
929,History & geography,Biography & genealogy,"Genealogy, names & insignia"
93,"Computer science, information & general works",Manuscripts & rare books,Incunabula
930,History & geography,History of ancient world (to ca. 499),History of ancient world to ca. 499
931,History & geography,History of ancient world (to ca. 499),China to 420
932,History & geography,History of ancient world (to ca. 499),Egypt to 640
933,History & geography,History of ancient world (to ca. 499),Palestine to 70
934,History & geography,History of ancient world (to ca. 499),India to 647
935,History & geography,History of ancient world (to ca. 499),Mesopotamia & Iranian Plateau to 637
936,History & geography,History of ancient world (to ca. 499),Europe north & west of Italy to ca. 499
937,History & geography,History of ancient world (to ca. 499),Italy & adjacent territories to 476
938,History & geography,History of ancient world (to ca. 499),Greece to 323
939,History & geography,History of ancient world (to ca. 499),Other parts of ancient world
94,"Computer science, information & general works",Manuscripts & rare books,Printed books
940,History & geography,History of Europe,History of Europe
941,History & geography,History of Europe,British Isles
942,History & geography,History of Europe,England and Wales
943,History & geography,History of Europe,Germany & central Europe
944,History & geography,History of Europe,France and Monaco
945,History & geography,History of Europe,"Italy, San Marino, Vatican City, Malta"
946,History & geography,History of Europe,"Spain, Andorra, Gibraltar, Portugal"
947,History & geography,History of Europe,Russia & east Europe
948,History & geography,History of Europe,Scandinavia and Finland
949,History & geography,History of Europe,Other parts of Europe
95,"Computer science, information & general works",Manuscripts & rare books,Books notable for bindings
950,History & geography,History of Asia,History of Asia
951,History & geography,History of Asia,China and adjacent areas
952,History & geography,History of Asia,Japan
953,History & geography,History of Asia,Arabian Peninsula and adjacent areas
954,History & geography,History of Asia,India & south Asia
955,History & geography,History of Asia,Iran
956,History & geography,History of Asia,Middle East (Near East)
957,History & geography,History of Asia,Siberia (Asiatic Russia)
958,History & geography,History of Asia,Central Asia
959,History & geography,History of Asia,Southeast Asia
96,"Computer science, information & general works",Manuscripts & rare books,Books notable for illustrations and materials
960,History & geography,History of Africa,History of Africa
961,History & geography,History of Africa,Tunisia and Libya
962,History & geography,History of Africa,"Egypt, Sudan, South Sudan"
963,History & geography,History of Africa,Ethiopia and Eritrea
964,History & geography,History of Africa,"Morocco, Ceuta, Melilla, Western Sahara"
965,History & geography,History of Africa,Algeria
966,History & geography,History of Africa,West Africa and offshore islands
967,History & geography,History of Africa,Central Africa and offshore islands
968,History & geography,History of Africa,South Africa & southern Africa
969,History & geography,History of Africa,South Indian Ocean islands
97,"Computer science, information & general works",Manuscripts & rare books,Books notable for ownership or origin
970,History & geography,History of North America,History of North America
971,History & geography,History of North America,Canada
972,History & geography,History of North America,"Mexico, Central America, West Indies"
973,History & geography,History of North America,United States
974,History & geography,History of North America,Northeastern United States
975,History & geography,History of North America,Southeastern United States
976,History & geography,History of North America,South central United States
977,History & geography,History of North America,North central United States
978,History & geography,History of North America,Western United States
979,History & geography,History of North America,Great Basin & Pacific Slope region
98,"Computer science, information & general works",Manuscripts & rare books,"Prohibited works, forgeries, hoaxes"
980,History & geography,History of South America,History of South America
981,History & geography,History of South America,Brazil
982,History & geography,History of South America,Argentina
983,History & geography,History of South America,Chile
984,History & geography,History of South America,Bolivia
985,History & geography,History of South America,Peru
986,History & geography,History of South America,Colombia and Ecuador
987,History & geography,History of South America,Venezuela
988,History & geography,History of South America,Guiana
989,History & geography,History of South America,Paraguay and Uruguay
99,"Computer science, information & general works",Manuscripts & rare books,Books notable for format
990,History & geography,History of other areas,History of other areas
991,History & geography,History of other areas,[Unassigned]
992,History & geography,History of other areas,[Unassigned]
993,History & geography,History of other areas,New Zealand
994,History & geography,History of other areas,Australia
995,History & geography,History of other areas,New Guinea & Melanesia
996,History & geography,History of other areas,Polynesia & Pacific Ocean islands
997,History & geography,History of other areas,Atlantic Ocean islands
998,History & geography,History of other areas,Arctic islands and Antarctica
999,History & geography,History of other areas,Extraterrestrial worlds
